rank,score,sector,business_name,city,location_detail,address,email,phone,website,instagram,type_style,size,fit_flag,notes,pipeline_stage,next_action,source_file
531,5,Tattoo studio,Deep Roots Tattoo,Toulouse,Arnaud-Bernard,"22 rue Arnaud-Bernard, 31000",deeproots.tlse@gmail.com,,,@deeproots_tlse,Blackwork/Geom.,Piccola,✅ Sì,"Blackwork geometrico, zona universitaria",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Tattoo_Toulouse.xlsx
532,5,Tattoo studio,Purpura Tattoo,Toulouse,Rangueil,"45 av Camille Pujol, 31400",purpura.tattoo@gmail.com,,,@purpura_tattoo,Fine Line/Floral,Piccola,✅ Sì,"Fine line floreale, zona università",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Tattoo_Toulouse.xlsx
533,5,Tattoo studio,Carmine Ink,Toulouse,Saint-Georges,"3 rue Saint-Rome, 31000",carmine.ink.tlse@gmail.com,,,@carmine_ink_tlse,Fine Line,Piccola,✅ Sì,"Fine line minimalista, cuore turistico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Tattoo_Toulouse.xlsx
534,5,Tattoo studio,Electric Pink Toulouse,Toulouse,Minimes,"28 chemin des Minimes, 31200",electricpink.tlse@gmail.com,,,@electricpink_tlse,Neo-traditional,Piccola,✅ Sì,"Neo-trad femminile, molto instagrammato",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Tattoo_Toulouse.xlsx
535,5,Tattoo studio,Black Satin Tattoo,Toulouse,Saint-Aubin,"9 rue Pargaminières, 31000",blacksatin.tattoo@gmail.com,,,@blacksatin_tattoo,Blackwork,Piccola,✅ Sì,"Blackwork raffinato, zona studenti",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Tattoo_Toulouse.xlsx
536,5,Tattoo studio,Rose & Épines,Toulouse,Belfort,"15 rue Belfort, 31300",rose.epines.tlse@gmail.com,,,@rose_epines_tlse,Fine Line/Floral,Piccola,✅ Sì,"Floreale femminile, zona trendy",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Tattoo_Toulouse.xlsx
537,5,Tattoo studio,Atelier Tattoo 31,Toulouse,Esquirol,"18 rue de la Pomme, 31000",atelier.tattoo.31@gmail.com,,,@ateliertattoo31,Fine Line/Geom.,Piccola,✅ Sì,Boutique artistica zona pedonale,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Tattoo_Toulouse.xlsx
538,5,Tattoo studio,Sacred Ink Toulouse,Toulouse,Croix-Baragnon,"5 rue Croix-Baragnon, 31000",sacredink.tlse@gmail.com,,,@sacredink_tlse,Neo-traditional,Piccola,✅ Sì,"Neo-trad di qualità, zona storica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Tattoo_Toulouse.xlsx
539,5,Tattoo studio,Astres Ink,Toulouse,Guilhemery,"4 rue Guilhemery, 31500",astres.ink.tlse@gmail.com,,,@astres_ink_tlse,Fine Line/Cosmic,Piccola,✅ Sì,"Fine line cosmico, molto visuale",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Tattoo_Toulouse.xlsx
540,5,Tattoo studio,Black Diamond Tlse,Toulouse,Grand-Rond,"8 av Jules-Guesde, 31400",blackdiamond.tlse@gmail.com,,,@blackdiamond_tlse,Blackwork,Media,✅ Sì,"Blackwork premium, zona viali",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Tattoo_Toulouse.xlsx
541,4,Ristorante,La Tupina,Bordeaux,Saint-Pierre,"6 rue Porte de la Monnaie, 33000 Bordeaux",contact@latupina.com,+33 5 56 91 56 37,latupina.com,@latupina_bordeaux,Cuisine Gascon / Traditionnel,Indipendente,⚠️ Medio,"Ristorante gastronomico tradizionale di Bordeaux, camino e décor autentico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
542,4,Ristorante,Brasserie Bordelaise,Bordeaux,Centre,"50 rue Saint-Rémi, 33000 Bordeaux",contact@brasserie-bordelaise.fr,+33 5 56 44 48 95,brasserie-bordelaise.fr,@brasseriebordelaise,Brasserie / Fromages,Piccola catena,⚠️ Medio,"Brasserie e fromagerie emblematica di Bordeaux, muri di formaggi fotografabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
543,4,Ristorante,Le Café Maritime,Bordeaux,Bassins à Flot,"23 quai des Chartrons, 33300 Bordeaux",contact@cafemaritime.fr,+33 5 56 39 42 43,cafemaritime.fr,@cafemaritime_bordeaux,Brasserie / Vue Garonne,Piccola catena,⚠️ Medio,"Brasserie moderna sui bassins à flot, terrasse con vista sulle chiuse fotogenica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
544,4,Ristorante,L'Entrecôte,Bordeaux,Centre,"4 cours du 30 Juillet, 33000 Bordeaux",contact@entrecote.fr,+33 5 56 81 76 10,entrecote.fr,@lentrecote_bordeaux,Steak / Bistro,Piccola catena,⚠️ Medio,Bistrot iconico con un solo piatto: entrecôte e patatine fritte in salsa verde,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
545,4,Ristorante,Café Belga Bordeaux,Bordeaux,Chartrons,"115 quai des Chartrons, 33000 Bordeaux",cafebelga.bordeaux@gmail.com,+33 5 56 50 51 90,,@cafebelga_bordeaux,Café / Brunch / Belge,Piccola catena,⚠️ Medio,"Caffè e brunch sur les quais des Chartrons, terrasse con vista Garonna",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
546,4,Ristorante,Le Saint-James,Bordeaux,Bouliac,"3 place Camille Hostein, 33270 Bouliac",contact@saintjames-bouliac.com,+33 5 57 97 06 00,saintjames-bouliac.com,@lesaintjames_bouliac,Gastronomique / Vue Bordeaux,Indipendente,⚠️ Medio,Vista panoramica su Bordeaux dall'hotel-ristorante stellato sulle colline,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
547,4,Ristorante,La Table d'Antan,Casablanca,Anfa,"15 rue Soumaya, Anfa, Casablanca",contact@latabledantan.ma,+212 5 22 36 88 09,latabledantan.ma,@latabledantan,Marocain / Gastronomique,Indipendente,⚠️ Medio,"Cucina marocchina gastronomica nella villa di Anfa, jardin fotogenico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
548,4,Ristorante,Brasserie La Bavaroise,Casablanca,Bourgogne,"133 rue Allal Ben Abdellah, Casablanca",labavaroise@gmail.com,+212 5 22 31 17 60,,@labavaroise_casa,Brasserie Française / Historique,Indipendente,⚠️ Medio,"Storica brasserie francesa degli anni '50, interni d'epoca fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
549,4,Ristorante,Lina's Café,Casablanca,Maarif,"Blvd Al Massira Al Khadra, Maarif, Casablanca",contact@linascafe.ma,+212 5 22 98 44 55,linascafe.ma,@linascafe_casa,Café / Brunch / Sandwichs,Piccola catena,⚠️ Medio,"Caffè brunch e sandwichs gourmet in arredo luminoso, fotogenico nel Maarif",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
550,4,Ristorante,Al Mounia,Casablanca,Racine,"95 rue du Prince Moulay Abdallah, Casablanca",almounia.casa@gmail.com,+212 5 22 22 26 69,,@almounia_casa,Marocain Classique / Terrasse,Indipendente,⚠️ Medio,"Ristorante marocchino classico nella villa, terrasse e giardino fotogenico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
551,4,Ristorante,Central Park Casa,Casablanca,Maarif,"104 blvd Rachidi, Casablanca",centralparkl@casablanca.ma,+212 5 22 99 46 66,,@centralpark_casa,Café / Brunch / Fast Casual,Piccola catena,⚠️ Medio,"Caffè e brunch nel Maarif, specchio da selfie e piatti colorati fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
552,4,Ristorante,L'Étoile Centrale,Casablanca,Bourgogne,"107 rue Allal Ben Abdellah, Casablanca",etoilecentrale@gmail.com,+212 5 22 47 26 31,,@etoilecentrale_casa,Brasserie / Europeo,Piccola catena,⚠️ Medio,"Brasserie nel centro, moules-frites e décor europeo classico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Casablanca.xlsx
553,4,Ristorante,À l'Huîtrière,Lille,Vieux-Lille,"3 rue des Chats Bossus, 59000 Lille",contact@huitriere.fr,+33 3 20 55 43 41,huitriere.fr,@huitriere_lille,Fruits de Mer / Gastronomique,Indipendente,⚠️ Medio,"Ristorante storico con décor Art Déco, ostriche e piatti di mare fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
554,4,Ristorante,Alcide Brasserie,Lille,Grand'Place,"5 rue des Halles, 59000 Lille",contact@alcide-lille.fr,+33 3 20 12 06 95,alcide-lille.fr,@alcide_lille,Brasserie Moderne,Indipendente,⚠️ Medio,"Brasserie moderna nei pressi della Grand'Place, interni design fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
555,4,Ristorante,Le Pain Quotidien Lille,Lille,Vieux-Lille,"9 rue d'Angleterre, 59000 Lille",lille@painquotidien.com,+33 3 20 14 22 82,painquotidien.com,@painquotidien,Café / Brunch / Belge,Piccola catena,⚠️ Medio,"Caffè belga con grandi tavoli in legno, tartines e colazioni fotogeniche",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
556,4,Ristorante,Brasserie de la Cloche,Lille,Vieux-Lille,"13 place du Général de Gaulle, 59000 Lille",brasseriecloche@gmail.com,+33 3 20 52 22 31,,@lacloche_lille,Brasserie Historique,Indipendente,⚠️ Medio,"Brasserie storica vicino alla Grand'Place, terrasse e interni Belle Époque",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
557,4,Ristorante,Aux Moules,Lille,Grand'Place,"34 rue de Béthune, 59000 Lille",auxmoules.lille@gmail.com,+33 3 20 57 12 46,,@auxmoules_lille,Moules-Frites / Brasserie,Indipendente,⚠️ Medio,"Classico belga moules-frites, pentoloni fumanti e atmosfera festiva",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
558,4,Ristorante,Brasserie Georges,Lyon,,"30 cours de Verdun, 69002 Lyon",info@brasseriegeorges.com,+33 4 72 56 54 54,brasseriegeorges.com,@brasseriegeorges,Brasserie Historique,Indipendente,⚠️ Medio,"Brasserie dal 1836 con interni Art Déco, una delle più fotografate di Lione",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
559,4,Ristorante,Le Café des Fédérations,Lyon,,"8 rue Major Martin, 69001 Lyon",contact@cafedesfederations.com,+33 4 78 28 26 00,cafedesfederations.com,@cafedesfederations,Bouchon Lyonnais,Indipendente,⚠️ Medio,"Bouchon tipico nel 1er con menù fisso, atmosfera autentica e fotografabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
560,4,Ristorante,La Bijouterie,Lyon,,"20 rue de la Barre, 69002 Lyon",contact@labijouterielyon.fr,+33 4 72 80 90 77,labijouterielyon.fr,@labijouterie_lyon,Restaurant Gastronomique,Indipendente,⚠️ Medio,"Ex-gioielleria trasformata in ristorante gastronomico, décor unico a Lione",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
561,4,Ristorante,M Restaurant,Lyon,,"47 ave Foch, 69006 Lyon",contact@m-restaurant.fr,+33 4 78 89 55 19,m-restaurant.fr,@mrestaurantlyon,Gastronomique Contemporain,Indipendente,⚠️ Medio,"Ristorante contemporaneo nel 6e, menu creativi e sala design fotogenica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
562,4,Ristorante,Le Gourmet de Sèze,Lyon,,"129 rue de Sèze, 69006 Lyon",gourmet@gourmetdeze.com,+33 4 78 24 23 42,gourmetdeze.com,@legourmetdeseze,Gastronomique Français,Indipendente,⚠️ Medio,"Ristorante gastronomico del 6e, piatti elaborati e sala elegante",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
563,4,Ristorante,Chez Madie les Galinettes,Marseille,Vieux-Port,"138 quai du Port, 13002 Marseille",contact@madie-galinettes.com,+33 4 91 90 40 87,madie-galinettes.com,@madiegalinettes,Bouillabaisse / Provençal,Indipendente,⚠️ Medio,"Bouillabaisse sul Vieux-Port, vista porto e pêcheurs fotogenica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Marseille.xlsx
564,4,Ristorante,Le Café des Brasseurs,Marseille,6e,"93 blvd Notre-Dame, 13006 Marseille",lesbrasseurs.marseille@gmail.com,+33 4 91 60 10 82,,@lesbrasseurs_marseille,Brasserie Artisanale / Craft Beer,Indipendente,⚠️ Medio,"Brasserie artigianale nel 6e con terrasse, birre locali fotogeniche",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Marseille.xlsx
565,4,Ristorante,Bouchon Breton Marseille,Marseille,1er,"24 blvd de la Libération, 13001 Marseille",bouchonbreton.mrs@gmail.com,+33 4 91 33 71 46,,@bouchon_breton_marseille,Crêperie Bretonne,Indipendente,⚠️ Medio,"Crêperie bretonne nel centro, galettes e crêpes sucrées fotografabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Marseille.xlsx
566,4,Ristorante,Maison Baron Lefèvre,Nantes,Centre,"33 rue de Rieux, 44000 Nantes",contact@maisondel.fr,+33 2 40 89 20 20,maisondel.fr,@maisonbaronlefevre,Gastronomique / Maison de Maître,Indipendente,⚠️ Medio,"Ristorante gastronomico in maison di charme, sala con luce naturale fotografabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nantes.xlsx
567,4,Ristorante,Le Manoir de la Régate,Nantes,Centre,"155 route de Gachet, 44300 Nantes",contact@manoir-regate.fr,+33 2 40 18 02 97,manoir-regate.fr,@manoirdelaregate,Gastronomique / Vue Loire,Indipendente,⚠️ Medio,"Ristorante gastronomico con vista sulla Loira, giardino fotogenico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nantes.xlsx
568,4,Ristorante,Au Beurre Blanc,Nantes,Centre,"3 rue Santeuil, 44000 Nantes",contact@le-beurreblanc.com,+33 2 51 82 70 70,le-beurreblanc.com,@restaurant_beurrelblanc,Cuisine Loire-Atlantique,Indipendente,⚠️ Medio,"Cucina classica ligérienne, piatto iconico beurre blanc di Nantes",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nantes.xlsx
569,4,Ristorante,Mamie Bigoude,Nantes,Centre,"7 rue des Carmes, 44000 Nantes",mamiebigoude@gmail.com,+33 2 40 48 67 34,,@mamiebigoude_nantes,Crêperie Bretonne,Indipendente,⚠️ Medio,"Crêperie con atmosphère bretonne, galettes colorate e fotogeniche",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nantes.xlsx
570,4,Ristorante,Flaveur,Nice,Libération,"25 rue Gubernatis, 06000 Nice",contact@flaveur.net,+33 4 93 62 53 95,flaveur.net,@flaveur_nice,Bistronomie / Étoilé,Indipendente,⚠️ Medio,"Bistrot étoilé Michelin dei fratelli Rabaey, cucina créative mediterranea",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
571,4,Ristorante,Café de Turin,Nice,Garibaldi,"5 place Garibaldi, 06300 Nice",contact@cafedeturin.fr,+33 4 93 62 29 52,cafedeturin.fr,@cafedeturin,Fruits de Mer / Brasserie,Indipendente,⚠️ Medio,"Storica brasserie di frutti di mare sulla Place Garibaldi, ostriche fotogeniche",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
572,4,Ristorante,Brasserie de l'Horloge,Nice,Masséna,"1 place Masséna, 06000 Nice",horloge.nice@gmail.com,+33 4 93 62 48 32,,@brasseriehorloge_nice,Brasserie / Vue Place Masséna,Piccola catena,⚠️ Medio,"Brasserie sulla celebre Place Masséna, vista sulla fontana e terrasse animata",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
573,4,Ristorante,Aphrodite,Nice,Musiciens,"10 blvd Dubouchage, 06000 Nice",contact@restaurant-aphrodite.com,+33 4 93 85 63 53,restaurant-aphrodite.com,@aphroditenice,Gastronomique / Innovant,Indipendente,⚠️ Medio,Cucina gastronomica innovante nel quartiere dei Musicieni,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
574,4,Ristorante,Ristorante Luna Rossa Nice,Nice,Centre,"6 rue de la Buffa, 06000 Nice",lunarossa.nice@gmail.com,+33 4 93 96 15 21,,@lunarossa_nice,Italian / Pizzeria Napolitaine,Indipendente,⚠️ Medio,"Pizza napoletana autentica vicino alla Promenade, forno a legna fotogenico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
575,4,Ristorante,Le Rossini,Nice,Gambetta,"2 rue Rossini, 06000 Nice",lerossini.nice@gmail.com,+33 4 93 87 35 75,,@lerossini_nice,Café / Brasserie,Indipendente,⚠️ Medio,"Caffè e brasserie nel quartiere Gambetta, colazioni e brunch fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
576,4,Ristorante,Monsieur Bleu,Paris,75116,20 Avenue de New York (Palais de Tokyo),privatisation@monsieurbleu.com,+33 1 47 20 90 47,monsieurbleu.com,@monsieurbleu,Francese contemporaneo,Piccola catena,⚠️ Medio,"Email eventi/privatizzazione, medio-grande",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
577,4,Ristorante,Ober Mamma,Paris,75011,107 Boulevard Richard Lenoir,ober.mamma@bigmamma.com,+33 1 58 30 62 62,bigmammagroup.com,@obermamma,Italiano / Pizzeria,Gruppo Big Mamma,⚠️ Medio,"Catena in crescita, potrebbero collaborare",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
578,4,Ristorante,Mama Shelter Paris East,Paris,75011,109 Rue de Bagnolet,food.pariseast@mamashelter.com,+33 1 43 48 48 48,mamashelter.com,@mamashelter,Bar / Restaurant fusion,Catena Mama Shelter,⚠️ Medio,"Hotel trendy, clientela giovane",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
579,4,Ristorante,Mun Rooftop,Paris,75008,52 Avenue des Champs-Élysées,contact@munparis.com,+33 1 40 70 57 05,restaurant-mun.com,@mun_paris,Giapponese / Rooftop,Paris Society,⚠️ Medio,Rooftop iconico Champs-Élysées,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
580,4,Ristorante,Créatures / Balcon GL,Paris,75009,25 Rue de la Chaussée d'Antin (Galeries Lafayette),reservation@creatures-paris.com,+33 1 42 82 34 56,creatures-paris.com,@creatures_restaurant,Vegetariano / Rooftop,Galeries Lafayette,⚠️ Medio,"Rooftop GL, concept vegetariano",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
581,4,Ristorante,Maxim's de Paris,Paris,75008,3 Rue Royale,contact@restaurant-maxims.com,+33 1 42 65 27 94,maxims-de-paris.com,@maximsdeparis,Francese classico / Art Nouveau,Indipendente,⚠️ Medio,"Icona parigina, décor Belle Époque",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
582,4,Ristorante,Girafe,Paris,75016,1 Place du Trocadéro,contact@girafe-restaurant.com,+33 1 40 62 70 61,girafe-restaurant.com,@girafe_paris,Francese / Méditerranée,Paris Society,⚠️ Medio,"Vista Tour Eiffel, très élégant",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
583,4,Ristorante,La Suite Girafe,Paris,75016,1 Place du Trocadéro,contact@lasuitegirafe.com,+33 1 40 62 70 61,girafe-restaurant.com,@lasuitegirafe,Bar / Cocktail,Paris Society,⚠️ Medio,Cocktail bar elegante al Trocadéro,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
584,4,Ristorante,Les Ombres,Paris,75007,27 Quai Jacques Chirac (Musée Branly),lesombres@musiam-paris.com,+33 1 47 53 68 00,lesombres-restaurant.com,@les_ombres,Francese contemporaneo,Musée Branly,⚠️ Medio,"Rooftop con vista Tour Eiffel, supervisione Ducasse",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
585,4,Ristorante,BeauCoCo Paris,Paris,75009,1 Place Jacques Rouché (Opéra Garnier),contact@beaucoco-paris.com,+33 1 42 68 86 80,restaurant-beaucoco.com,@beaucoco_paris,Francese / Brasserie teatro,Opéra Garnier,⚠️ Medio,"Luogo iconico, grandioso décor",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
586,4,Ristorante,Madame Brasserie,Paris,75007,Tour Eiffel (1° piano),reservation.web@madamebrasserie.com,+33 1 83 77 77 78,restaurants-toureiffel.com,@madame_brasserie,Francese brasserie,Sté Exploitation Tour Eiffel,⚠️ Medio,Torre Eiffel - location unica,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
587,4,Ristorante,Café de Flore,New,,"172 blvd Saint-Germain, 75006 Paris",cafedeflore@wanadoo.fr,+33 1 45 48 55 26,cafedeflore.fr,@cafedflore,Café / Littéraire / Historique,Indipendente,⚠️ Medio,"Caffè letterario storico di Saint-Germain, uno dei più fotografati del mondo",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris_New.xlsx
588,4,Ristorante,Café du Marché,New,,"38 rue Cler, 75007 Paris",cafedumarcheruecler@gmail.com,+33 1 47 34 62 61,,@cafedumarcheparis,Café / Marché / Authentique,Indipendente,⚠️ Medio,"Caffè sul mercato storico Rue Cler, terrasse e prodotti freschi fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris_New.xlsx
589,4,Ristorante,Sushi B,New,,"5 rue Rambuteau, 75004 Paris",contact@sushi-b.fr,+33 1 40 27 95 75,sushi-b.fr,@sushi_b_paris,Japanese / Omakase,Indipendente,⚠️ Medio,"Omakase giapponese nel cuore di Parigi, presentazioni minimaliste fotogeniche",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris_New.xlsx
590,4,Ristorante,1741 Strasbourg,Strasbourg,Neustadt,"22 rue du Fossé des Tanneurs, 67000 Strasbourg",contact@1741.fr,+33 3 88 35 50 50,1741.fr,@1741strasbourg,Gastronomique / Cave,Indipendente,⚠️ Medio,"Ristorante gastronomico in cantina del 18° sec, votato migliore d'Alsazia",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
591,4,Ristorante,Au Crocodile,Strasbourg,Grande Île,"10 rue de l'Outre, 67000 Strasbourg",contact@aucrocodile.com,+33 3 88 32 13 02,aucrocodile.com,@aucrocodile_str,Gastronomique / Historique,Indipendente,⚠️ Medio,"Ristorante storico con coccodrillo imbalsamato appeso, décor iconico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
592,4,Ristorante,Murano Strasbourg,Strasbourg,Grande Île,"7 rue de la Mésange, 67000 Strasbourg",murano.str@gmail.com,+33 3 88 15 62 47,,@murano_str,Italian / Fine Dining,Indipendente,⚠️ Medio,"Ristorante italiano fine dining nel centro, pasta fresca e vetri di Murano",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
593,4,Ristorante,L'Alsace à Table,Strasbourg,Grande Île,"10 rue des Frères, 67000 Strasbourg",alsace.atable@gmail.com,+33 3 88 36 17 81,,@alsaceatable_str,Alsacien Traditionnel,Indipendente,⚠️ Medio,"Cucina alsaziana tradizionale in cava medievale, choucroute e cervelas",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
594,4,Ristorante,Winstub Zum Strissel,Strasbourg,Grande Île,"5 place de la Grande Boucherie, 67000 Strasbourg",strissel@strissel.fr,+33 3 88 32 14 73,strissel.fr,@strissel_str,Winstub / Cave à Vins,Indipendente,⚠️ Medio,"Winstub storico con la più grande cave à vins d'Alsazia, ambiance autentique",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
